Date,True,dLinear,TimesNet,True Prod,Prod
2023-08-16 10:00:00,6.35006,7.927875,8.3272915,24.20775,25.441
2023-08-16 11:00:00,7.0309,8.125359,8.728216,14.131225,12.584225
2023-08-16 12:00:00,8.77715,8.372358,8.88825,23.603775,25.845924
2023-08-16 13:00:00,8.42986,8.383196,8.846047,19.2435,26.300413
2023-08-16 14:00:00,8.394167,8.385382,8.840749,18.904474,25.334688
2023-08-16 15:00:00,8.668076,8.637971,8.805319,15.56595,19.964518
2023-08-16 15:00:00,8.668076,8.696736,8.908259,5.711475,8.462334
2023-08-16 16:00:00,6.7687,8.904343,8.918557,1.8382505,1.5905766
2023-08-16 17:00:00,8.2465,8.980863,8.841336,0.03655025,0.6752553
2023-08-16 18:00:00,8.95255,8.805738,8.910416,0.71984905,1.1943794
2023-08-16 19:00:00,8.1323395,8.710894,8.652661,4.4969506,6.210653
2023-08-16 20:00:00,9.3175,8.245442,8.216541,14.394424,15.511255
2023-08-16 21:00:00,9.033866,7.906075,7.6361756,20.069426,19.85586
2023-08-16 22:00:00,8.978134,7.5445123,7.187127,23.967926,23.84012
2023-08-16 23:00:00,9.0284,7.263165,6.480962,26.6637,25.463215
2023-08-17 00:00:00,6.8707004,6.9686494,6.125643,27.458376,22.647173
2023-08-17 01:00:00,5.8091497,6.9186044,6.072157,25.480776,19.801813
2023-08-17 02:00:00,6.929933,6.814593,6.233865,21.604849,19.270761
2023-08-17 03:00:00,6.7332,6.7759686,6.203296,15.7424,16.717525
2023-08-17 04:00:00,4.7969,6.770094,5.921856,8.29965,7.0173893
2023-08-17 05:00:00,5.8856,6.887416,6.11533,1.7788999,1.9029536
2023-08-17 06:00:00,6.64085,6.951176,6.347571,0.03992525,0.77732563
2023-08-17 07:00:00,6.6039333,7.0612473,6.461444,0.8611,1.2154497
2023-08-17 08:00:00,5.821525,7.37547,6.3690915,7.1559744,2.7954233
2023-08-17 09:00:00,6.7771,7.6821737,6.8228846,14.651151,14.550637
2023-08-17 10:00:00,6.25486,7.889957,7.5234137,19.782875,18.765945
2023-08-17 11:00:00,8.7095,8.204511,8.179595,23.411776,23.439396
2023-08-17 12:00:00,8.619901,8.311514,8.47006,25.3336,26.012033
2023-08-17 13:00:00,7.467433,8.3387,8.64154,25.469776,27.3162
2023-08-17 14:00:00,9.1578,8.544115,8.561323,24.250725,25.708508
2023-08-17 14:00:00,9.1578,8.506705,8.442684,20.396526,22.6222
2023-08-17 15:00:00,7.9645333,8.865928,8.641062,14.674775,16.585596
2023-08-17 16:00:00,6.7699,9.188733,8.56138,8.14435,7.2240505
2023-08-17 17:00:00,9.195867,9.292129,9.11142,1.9760249,1.1807876
2023-08-17 18:00:00,9.23874,9.417232,8.703753,0.04364986,0.74137735
2023-08-17 19:00:00,9.0612,9.238105,8.531898,0.9426254,1.1847154
2023-08-17 20:00:00,8.9381,9.1735,8.342819,7.0513744,5.0542145
2023-08-17 21:00:00,8.9824,8.945616,8.248006,14.6592245,14.169936
2023-08-17 22:00:00,9.039599,8.560314,7.6551332,19.830324,18.394062
2023-08-17 23:00:00,8.862134,8.047515,7.16179,22.9149,22.99011
2023-08-18 00:00:00,8.9576,7.710426,6.504892,24.677599,24.447311
